AtcoCode,TiplocCode,CrsCode,StationName,StationNameLang,GridType,Easting,Northing,CreationDateTime,ModificationDateTime,RevisionNumber,Modification
9100ALXPD,ALXPD,AXP,Alexandra Parade Rail Station,,U,261747,665542,2003-11-04T00:00:00,2011-07-07T16:17:02,2,rev
9100ANDRSTN,ANDRSTN,AND,Anderston Rail Station,,U,257960,665300,2003-11-04T00:00:00,2011-07-07T16:17:02,2,rev
9100ANSL,ANSL,ANL,Anniesland Rail Station,,U,254880,668683,2003-11-04T00:00:00,2011-07-07T16:17:02,3,rev
9100ARGYLST,ARGYLST,AGS,Argyle Street Rail Station,,U,259220,664970,2003-11-04T00:00:00,2010-10-13T15:31:21,3,rev
9100ASFIELD,ASFIELD,ASF,Ashfield Rail Station,,U,259427,668485,2003-11-04T00:00:00,2006-09-18T18:24:34,2,rev
9100BALISTN,BALISTN,BIO,Baillieston Rail Station,,U,267750,663275,2003-11-04T00:00:00,2011-08-22T17:03:04,2,rev
9100BLGRVE,BLGRVE,BLG,Bellgrove Rail Station,,U,260865,664850,2003-11-04T00:00:00,2011-07-07T16:17:02,2,rev
9100BNHL,BNHL,BNL,Barnhill Rail Station,,U,261025,667160,2003-11-04T00:00:00,2011-07-07T16:17:02,2,rev
9100BRIDGTN,BRIDGTN,BDG,Bridgeton Rail Station,,U,260732,663992,2003-11-04T00:00:00,2011-07-07T16:17:02,2,rev
9100CARMYLE,CARMYLE,CML,Carmyle Rail Station,,U,264930,662230,2003-11-04T00:00:00,2006-09-18T18:24:34,1,rev
9100CCRT,CCRT,CCT,Cathcart Rail Station,,U,258460,660580,2003-11-04T00:00:00,2006-09-18T18:24:34,1,rev
9100CDNL,CDNL,CDO,Cardonald Rail Station,,U,253570,664630,2003-11-04T00:00:00,2006-09-18T18:24:34,1,rev
9100CHRNGXG,CHRNGXG,CHC,Charing Cross (Glasgow) Rail Station,,U,258050,665830,2003-11-04T00:00:00,2006-09-18T18:24:34,1,rev
9100CKHL,CKHL,CKH,Corkerhill Rail Station,,U,253914,662940,2005-04-04T00:00:00,2006-09-18T18:24:34,1,rev
9100CNTY,CNTY,CAY,Carntyne Rail Station,,U,263725,664555,2005-04-04T00:00:00,2011-07-07T16:17:02,2,rev
9100CROKSTN,CROKSTN,CKT,Crookston Rail Station,,U,252030,663540,2005-04-04T00:00:00,2011-07-07T16:17:02,2,rev
9100CROSSHL,CROSSHL,COI,Crosshill Rail Station,,U,258750,662310,2003-11-04T00:00:00,2006-09-18T18:24:34,1,rev
9100CRSMYLF,CRSMYLF,CMY,Crossmyloof Rail Station,,U,257030,662440,2003-11-04T00:00:00,2006-09-18T18:24:34,1,rev
9100DAWSHLM,DAWSHLM,KVD,Kelvindale Rail Station,,U,255670,669125,2005-10-03T00:00:00,2011-07-07T16:17:02,2,rev
9100DLMRNOK,DLMRNOK,DAK,Dalmarnock Rail Station,,U,261230,663210,2003-11-04T00:00:00,2006-09-18T18:24:34,1,rev
9100DRMCHPL,DRMCHPL,DMC,Drumchapel Rail Station,,U,252380,670490,2003-11-04T00:00:00,2006-09-18T18:24:34,2,rev
9100DUKEST,DUKEST,DST,Duke Street Rail Station,,U,261580,665020,2003-11-04T00:00:00,2006-09-18T18:24:34,1,rev
9100DUMBRCK,DUMBRCK,DUM,Dumbreck Rail Station,,U,256010,663666,2003-11-04T00:00:00,2011-07-07T16:17:02,3,rev
9100ESHS,ESHS,EST,Easterhouse Rail Station,,U,268210,664960,2003-11-04T00:00:00,2006-09-18T18:24:34,1,rev
9100EXHIBTC,EXHIBTC,EXG,Exhibition Centre (Glasgow) Rail Station,,U,257177,665510,2003-11-04T00:00:00,2011-07-18T17:01:58,2,rev
9100GARROWH,GARROWH,GAR,Garrowhill Rail Station,,U,266800,664500,2003-11-04T00:00:00,2006-09-18T18:24:34,1,rev
9100GLGC,GLGC,GLC,Glasgow Central Rail Station,,U,258794,665257,2003-11-04T00:00:00,2007-08-24T15:05:14,3,rev
9100GLGCLL,GLGCLL,GCL,Glasgow Central Low Level Rail Station,,U,258737,665139,2003-11-04T00:00:00,2011-08-12T14:57:45,2,rev
9100GLGHST,GLGHST,HST,High Street (Glasgow) Rail Station,,U,259890,665200,2003-11-04T00:00:00,2006-09-18T18:24:34,1,rev
9100GLGQHL,GLGQHL,GLQ,Glasgow Queen Street Rail Station,,U,259190,665515,2003-11-04T00:00:00,2010-02-18T14:19:13,3,rev
9100GLGQLL,GLGQLL,GQL,Glasgow Queen Street Low Level Rail Station,,U,259241,665531,2003-11-04T00:00:00,2008-04-25T15:26:31,2,rev
9100GSCD,GSCD,GRS,Garscadden Rail Station,,U,252182,668590,2003-11-04T00:00:00,2006-09-18T18:24:34,1,rev
9100HLNGTNE,HLNGTNE,HLE,Hillington East Rail Station,,U,252680,664840,2003-11-04T00:00:00,2011-07-07T16:17:02,2,rev
9100HLNGTNW,HLNGTNW,HLW,Hillington West Rail Station,,U,251650,665080,2003-11-04T00:00:00,2006-09-18T18:24:34,1,rev
9100HYNDLND,HYNDLND,HYN,Hyndland Rail Station,,U,255300,667600,2003-11-04T00:00:00,2006-09-18T18:24:34,1,rev
9100JORDANH,JORDANH,JOR,Jordanhill Rail Station,,U,254670,667950,2003-11-04T00:00:00,2011-07-07T16:17:02,2,rev
9100KENISHD,KENISHD,KNS,Kennishead Rail Station,,U,254390,660230,2003-11-04T00:00:00,2011-07-07T16:17:02,2,rev
9100KGPK,KGPK,KGP,Kings Park Rail Station,,U,259345,660760,2003-11-04T00:00:00,2011-07-07T16:17:02,2,rev
9100LAMBH,LAMBH,GSC,Gilshochill Rail Station,,U,257365,669490,2003-11-04T00:00:00,2011-07-07T16:17:02,3,rev
9100LNSD,LNSD,LGS,Langside Rail Station,,U,257420,661000,2005-03-18T00:00:00,2006-09-18T18:24:34,1,rev
9100MAXWLPK,MAXWLPK,MAX,Maxwell Park Rail Station,,U,256770,662870,2003-11-04T00:00:00,2006-09-18T18:24:34,1,rev
9100MNTVRNN,MNTVRNN,MTV,Mount Vernon Rail Station,,U,266485,662835,2003-11-04T00:00:00,2011-07-07T16:17:02,2,rev
9100MRYHILL,MRYHILL,MYH,Maryhill Rail Station,,U,256237,669560,2003-11-04T00:00:00,2010-10-13T15:31:21,2,rev
9100MSSPARK,MSSPARK,MPK,Mosspark Rail Station,,U,253050,663340,2003-11-04T00:00:00,2011-07-07T16:17:02,2,rev
9100MTFL,MTFL,MFL,Mount Florida Rail Station,,U,258455,661570,2003-11-04T00:00:00,2011-02-14T14:58:53,2,rev
9100MUIREND,MUIREND,MUI,Muirend Rail Station,,U,257562,659695,2003-11-04T00:00:00,2011-07-07T16:17:02,2,rev
9100NITSH,NITSH,NIT,Nitshill Rail Station,,U,252210,660150,2003-11-04T00:00:00,2006-09-18T18:24:34,1,rev
9100PHLD,PHLD,PTL,Priesthill & Darnley Rail Station,,U,253280,660140,2005-03-17T00:00:00,2006-09-18T18:24:34,1,rev
9100PLKLHDE,PLKLHDE,PLE,Pollokshields East Rail Station,,U,258040,663200,2005-03-18T00:00:00,2006-09-18T18:24:34,1,rev
9100PLKLHDW,PLKLHDW,PLW,Pollokshields West Rail Station,,U,257580,662840,2005-03-18T00:00:00,2006-09-18T18:24:34,1,rev
9100PLKSHWE,PLKSHWE,PWE,Pollokshaws East Rail Station,,U,256835,661410,2005-04-04T00:00:00,2011-07-07T16:17:02,2,rev
9100PLKSHWW,PLKSHWW,PWW,Pollokshaws West Rail Station,,U,255910,661350,2005-03-18T00:00:00,2006-09-18T18:24:34,1,rev
9100POSILPK,POSILPK,PPK,Possilpark & Parkhouse Rail Station,,U,258850,668640,2005-03-18T00:00:00,2011-07-07T16:17:02,2,rev
9100PTCK,PTCK,PTK,Partick Rail Station,,U,255630,666490,2005-03-18T00:00:00,2006-09-18T18:24:34,1,rev
9100QUNPARK,QUNPARK,QPK,Queens Park (Glasgow) Rail Station,,U,258135,662555,2003-11-04T00:00:00,2011-07-07T16:17:02,2,rev
9100SCTSTNH,SCTSTNH,SCH,Scotstounhill Rail Station,,U,252930,668280,2003-11-04T00:00:00,2006-09-18T18:24:34,1,rev
9100SHTLSTN,SHTLSTN,SLS,Shettleston Rail Station,,U,264880,664370,2003-11-04T00:00:00,2006-09-18T18:24:34,1,rev
9100SHWLNDS,SHWLNDS,SHL,Shawlands Rail Station,,U,256510,661930,2003-11-04T00:00:00,2006-09-18T18:24:34,1,rev
9100SPRNGBN,SPRNGBN,SPR,Springburn Rail Station,,U,260570,667670,2005-04-04T00:00:00,2011-07-07T16:17:02,2,rev
9100SUMRSTN,SUMRSTN,SUM,Summerston Rail Station,,U,256817,669675,2005-03-18T00:00:00,2011-07-07T16:17:02,3,rev
